Date,Province,Cases
21 mrt. 2020,Hainaut,58
21 mrt. 2020,Brussels,44
21 mrt. 2020,BrabantWallon,14
22 mrt. 2020,WestVlaanderen,46
22 mrt. 2020,Antwerpen,55
22 mrt. 2020,VlaamsBrabant,43
22 mrt. 2020,OostVlaanderen,44
22 mrt. 2020,Namur,16
22 mrt. 2020,Luxembourg,12
22 mrt. 2020,Limburg,45
22 mrt. 2020,Liège,60
22 mrt. 2020,Hainaut,64
22 mrt. 2020,Brussels,63
22 mrt. 2020,BrabantWallon,23
23 mrt. 2020,Antwerpen,194
23 mrt. 2020,BrabantWallon,31
23 mrt. 2020,Brussels,116
23 mrt. 2020,Hainaut,121
23 mrt. 2020,Liège,166
23 mrt. 2020,Luxembourg,44
23 mrt. 2020,Namur,32
23 mrt. 2020,OostVlaanderen,144
23 mrt. 2020,VlaamsBrabant,132
23 mrt. 2020,WestVlaanderen,191
23 mrt. 2020,Limburg,145
24 mrt. 2020,WestVlaanderen,119
24 mrt. 2020,Limburg,135
24 mrt. 2020,Antwerpen,172
24 mrt. 2020,BrabantWallon,34
24 mrt. 2020,Brussels,122
24 mrt. 2020,Hainaut,130
24 mrt. 2020,Liège,163
24 mrt. 2020,Luxembourg,23
24 mrt. 2020,Namur,29
24 mrt. 2020,OostVlaanderen,155
24 mrt. 2020,VlaamsBrabant,105
25 mrt. 2020,WestVlaanderen,148
25 mrt. 2020,Antwerpen,171
25 mrt. 2020,VlaamsBrabant,128
25 mrt. 2020,OostVlaanderen,145
25 mrt. 2020,Namur,38
25 mrt. 2020,Luxembourg,17
25 mrt. 2020,Limburg,125
25 mrt. 2020,Liège,138
25 mrt. 2020,Hainaut,114
25 mrt. 2020,Brussels,142
25 mrt. 2020,BrabantWallon,21
26 mrt. 2020,Antwerpen,183
26 mrt. 2020,BrabantWallon,29
26 mrt. 2020,Brussels,149
26 mrt. 2020,Hainaut,112
26 mrt. 2020,Liège,157
26 mrt. 2020,Luxembourg,45
26 mrt. 2020,Namur,33
26 mrt. 2020,OostVlaanderen,163
26 mrt. 2020,VlaamsBrabant,140
26 mrt. 2020,WestVlaanderen,156
26 mrt. 2020,Limburg,179
27 mrt. 2020,VlaamsBrabant,161
27 mrt. 2020,Antwerpen,190
27 mrt. 2020,BrabantWallon,43
27 mrt. 2020,Brussels,186
27 mrt. 2020,Hainaut,151
27 mrt. 2020,Liège,97
27 mrt. 2020,WestVlaanderen,185
27 mrt. 2020,Limburg,181
27 mrt. 2020,Luxembourg,34
27 mrt. 2020,Namur,46
27 mrt. 2020,OostVlaanderen,221
28 mrt. 2020,WestVlaanderen,77
28 mrt. 2020,Limburg,96
28 mrt. 2020,VlaamsBrabant,96
28 mrt. 2020,OostVlaanderen,109
28 mrt. 2020,Namur,31
28 mrt. 2020,Luxembourg,26
28 mrt. 2020,Liège,30
28 mrt. 2020,Hainaut,104
28 mrt. 2020,Brussels,147
28 mrt. 2020,BrabantWallon,15
28 mrt. 2020,Antwerpen,100
29 mrt. 2020,WestVlaanderen,62
29 mrt. 2020,Antwerpen,102
29 mrt. 2020,VlaamsBrabant,58
29 mrt. 2020,OostVlaanderen,70
29 mrt. 2020,Namur,23
29 mrt. 2020,Luxembourg,14
29 mrt. 2020,Limburg,72
29 mrt. 2020,Liège,54
29 mrt. 2020,Hainaut,108
29 mrt. 2020,Brussels,93
29 mrt. 2020,BrabantWallon,14
30 mrt. 2020,Antwerpen,231
30 mrt. 2020,BrabantWallon,36
30 mrt. 2020,Brussels,138
30 mrt. 2020,Hainaut,154
30 mrt. 2020,Liège,245
30 mrt. 2020,Luxembourg,56
30 mrt. 2020,Namur,48
30 mrt. 2020,OostVlaanderen,218
30 mrt. 2020,VlaamsBrabant,149
30 mrt. 2020,WestVlaanderen,204
30 mrt. 2020,Limburg,231
31 mrt. 2020,VlaamsBrabant,154
31 mrt. 2020,Antwerpen,175
31 mrt. 2020,BrabantWallon,28
31 mrt. 2020,Brussels,178
31 mrt. 2020,Hainaut,233
31 mrt. 2020,Liège,207
31 mrt. 2020,WestVlaanderen,166
31 mrt. 2020,Limburg,166
31 mrt. 2020,Luxembourg,89
31 mrt. 2020,Namur,49
31 mrt. 2020,OostVlaanderen,218
1 apr. 2020,WestVlaanderen,166
1 apr. 2020,Antwerpen,178
1 apr. 2020,BrabantWallon,40
1 apr. 2020,Brussels,146
1 apr. 2020,Hainaut,122
1 apr. 2020,Liège,175
1 apr. 2020,Luxembourg,99
1 apr. 2020,Namur,57
1 apr. 2020,OostVlaanderen,174
1 apr. 2020,VlaamsBrabant,152
1 apr. 2020,Limburg,170
2 apr. 2020,VlaamsBrabant,140
2 apr. 2020,WestVlaanderen,173
2 apr. 2020,OostVlaanderen,153
2 apr. 2020,Namur,75
2 apr. 2020,Luxembourg,62
2 apr. 2020,Limburg,167
2 apr. 2020,Liège,194
2 apr. 2020,Hainaut,117
2 apr. 2020,Brussels,155
2 apr. 2020,BrabantWallon,29
2 apr. 2020,Antwerpen,166
3 apr. 2020,Antwerpen,186
3 apr. 2020,BrabantWallon,44
3 apr. 2020,Brussels,167
3 apr. 2020,Hainaut,196
3 apr. 2020,Liège,182
3 apr. 2020,Luxembourg,57
3 apr. 2020,Namur,68
3 apr. 2020,OostVlaanderen,194
3 apr. 2020,VlaamsBrabant,170
3 apr. 2020,WestVlaanderen,144
3 apr. 2020,Limburg,257
4 apr. 2020,WestVlaanderen,86
4 apr. 2020,Liège,115
4 apr. 2020,Antwerpen,108
4 apr. 2020,BrabantWallon,15
4 apr. 2020,Brussels,102
4 apr. 2020,Hainaut,73
4 apr. 2020,Limburg,86
4 apr. 2020,Luxembourg,14
4 apr. 2020,Namur,39
4 apr. 2020,OostVlaanderen,131
4 apr. 2020,VlaamsBrabant,132
5 apr. 2020,WestVlaanderen,40
5 apr. 2020,Antwerpen,79
5 apr. 2020,VlaamsBrabant,45
5 apr. 2020,OostVlaanderen,110
5 apr. 2020,Namur,37
5 apr. 2020,Luxembourg,12
5 apr. 2020,Limburg,47
5 apr. 2020,Liège,96
5 apr. 2020,Hainaut,78
5 apr. 2020,Brussels,82
5 apr. 2020,BrabantWallon,16
6 apr. 2020,WestVlaanderen,223
6 apr. 2020,VlaamsBrabant,196
6 apr. 2020,OostVlaanderen,213
6 apr. 2020,Namur,75
6 apr. 2020,Luxembourg,51
6 apr. 2020,Antwerpen,247
6 apr. 2020,Limburg,258
6 apr. 2020,Liège,190
6 apr. 2020,Hainaut,213
6 apr. 2020,Brussels,169
6 apr. 2020,BrabantWallon,48
7 apr. 2020,WestVlaanderen,153
7 apr. 2020,BrabantWallon,33
7 apr. 2020,Brussels,141
7 apr. 2020,Hainaut,144
7 apr. 2020,Liège,202
7 apr. 2020,Limburg,221
7 apr. 2020,Antwerpen,179
7 apr. 2020,Luxembourg,48
7 apr. 2020,Namur,70
7 apr. 2020,OostVlaanderen,146
7 apr. 2020,VlaamsBrabant,131
8 apr. 2020,Antwerpen,216
8 apr. 2020,BrabantWallon,40
8 apr. 2020,Brussels,172
8 apr. 2020,Hainaut,158
8 apr. 2020,Liège,160
8 apr. 2020,Limburg,214
8 apr. 2020,Luxembourg,37
8 apr. 2020,Namur,69
8 apr. 2020,OostVlaanderen,169
8 apr. 2020,VlaamsBrabant,146
8 apr. 2020,WestVlaanderen,172
9 apr. 2020,WestVlaanderen,286
9 apr. 2020,VlaamsBrabant,173
9 apr. 2020,OostVlaanderen,363
9 apr. 2020,Namur,53
9 apr. 2020,Luxembourg,39
9 apr. 2020,Liège,236
9 apr. 2020,Hainaut,261
9 apr. 2020,Brussels,162
9 apr. 2020,BrabantWallon,52
9 apr. 2020,Antwerpen,302
9 apr. 2020,Limburg,255
10 apr. 2020,Antwerpen,264
10 apr. 2020,BrabantWallon,34
10 apr. 2020,Brussels,141
10 apr. 2020,Hainaut,232
10 apr. 2020,Liège,234
10 apr. 2020,Limburg,324
10 apr. 2020,Luxembourg,25
10 apr. 2020,Namur,46
10 apr. 2020,OostVlaanderen,401
10 apr. 2020,VlaamsBrabant,227
10 apr. 2020,WestVlaanderen,343
11 apr. 2020,WestVlaanderen,197
11 apr. 2020,Limburg,93
11 apr. 2020,Antwerpen,93
11 apr. 2020,BrabantWallon,13
11 apr. 2020,Brussels,74
11 apr. 2020,Hainaut,54
11 apr. 2020,Liège,138
11 apr. 2020,Luxembourg,17
11 apr. 2020,Namur,41
11 apr. 2020,OostVlaanderen,94
11 apr. 2020,VlaamsBrabant,192
12 apr. 2020,WestVlaanderen,51
12 apr. 2020,BrabantWallon,5
12 apr. 2020,Brussels,60
12 apr. 2020,Hainaut,38
12 apr. 2020,Liège,76
12 apr. 2020,Limburg,53
12 apr. 2020,Antwerpen,86
12 apr. 2020,Luxembourg,5
12 apr. 2020,Namur,23
12 apr. 2020,OostVlaanderen,42
12 apr. 2020,VlaamsBrabant,60
13 apr. 2020,Antwerpen,65
13 apr. 2020,BrabantWallon,6
13 apr. 2020,Brussels,73
13 apr. 2020,Hainaut,50
13 apr. 2020,Liège,63
13 apr. 2020,Limburg,40
13 apr. 2020,Luxembourg,4
13 apr. 2020,Namur,19
13 apr. 2020,OostVlaanderen,63
13 apr. 2020,VlaamsBrabant,86
13 apr. 2020,WestVlaanderen,53
14 apr. 2020,WestVlaanderen,140
14 apr. 2020,VlaamsBrabant,95
14 apr. 2020,OostVlaanderen,139
14 apr. 2020,Namur,60
14 apr. 2020,Luxembourg,58
14 apr. 2020,Liège,212
14 apr. 2020,Hainaut,184
14 apr. 2020,Brussels,181
14 apr. 2020,BrabantWallon,63
14 apr. 2020,Antwerpen,140
14 apr. 2020,Limburg,188
15 apr. 2020,Antwerpen,175
15 apr. 2020,BrabantWallon,32
15 apr. 2020,Brussels,136
15 apr. 2020,Hainaut,143
15 apr. 2020,Liège,451
15 apr. 2020,Limburg,96
15 apr. 2020,Luxembourg,38
15 apr. 2020,Namur,118
15 apr. 2020,OostVlaanderen,157
15 apr. 2020,VlaamsBrabant,110
15 apr. 2020,WestVlaanderen,113
16 apr. 2020,VlaamsBrabant,126
